4.348945125895010278e+03,8.477915950323342997e+00,5.691841290491976402e+00,4.854856799009849011e-03,2.658374816570951288e-03,1.747212650518076629e-02,1.309381362890715828e-02,7.634597665228205765e-03,1.444639290318835978e-03
3.357362137552496279e+03,4.751959512212034831e+00,2.281663540254631251e+00,3.066853950843131255e-03,1.563729127346355149e-02,1.840254049222233429e-03,1.807454707253663279e-02,1.262148704545474308e-02,7.851104107301880297e-04
4.338531899801537293e+03,4.801072676750471224e+00,4.683108734809080076e+00,1.651147459730284428e-02,2.989736252741088257e-03,9.716534131840766364e-04,5.536227949500946086e-03,1.239509236202277973e-02,5.386139761624435252e-03
4.015420717648553364e+03,5.522798381921607103e+00,9.726997442500037394e+00,3.436981113949827416e-03,1.217009582040679862e-02,1.608568721289372477e-02,1.937536054574852742e-02,6.474527748559411391e-03,1.694000984325684522e-02
3.515699463489732352e+03,4.290058238716803807e+00,5.019323591525644446e+00,7.572664144242135381e-03,2.859372570295448668e-03,1.959958606592038244e-02,2.663958984783151851e-04,1.662026889556902573e-02,1.502637193675148558e-02
2.686844041626945000e+03,2.803263398970503584e+00,4.533348044761598139e+00,9.820192349364778583e-03,1.781902354061720359e-02,5.567920189517154214e-03,7.838051478888594104e-03,1.099576185308214285e-02,7.115396767474739537e-03
3.579530108771793493e+03,2.288070073941172566e+00,9.103183530622480646e+00,3.633730275426100276e-03,1.105986651369224999e-02,1.326742680801715202e-02,8.917810551669418453e-03,2.662865499051980667e-03,1.381862460559831265e-02
3.745321466970278379e+03,5.796550204284276475e+00,3.422872294101910740e+00,1.880166199673151406e-02,1.368489628186425611e-02,1.322405073488253785e-02,7.656775532441413221e-03,1.510660191267108703e-02,1.970713017890533131e-02
4.046024457788236759e+03,5.793116649468967871e+00,8.536401369991089894e+00,1.014634435609307328e-02,7.937418608682361362e-03,1.201262613997495544e-02,8.504982830325209103e-03,2.895508951334592462e-03,1.246305640215061156e-03
2.969959125508636134e+03,9.642855520305419148e+00,7.601053399487669004e+00,3.243247290640301206e-03,2.099396387142311166e-03,6.495279641140851851e-03,9.417284758267256001e-03,1.455466017802540916e-02,1.730128394463188723e-02
3.287102611861300829e+03,3.404600270545764751e+00,3.057977296126769495e+00,1.452181037343547136e-02,1.648351953820022253e-02,1.417844833575393829e-02,9.629237591153777531e-03,7.685866014234120358e-03,6.183206552542888298e-03
2.961416338025946061e+03,9.379156036897924764e+00,7.205771649258960743e+00,1.989131008083587157e-02,5.970631937283312277e-03,7.221834899026637750e-03,2.957002045105027593e-03,1.713275359535806203e-02,1.702498085067695108e-02
2.932614775733022725e+03,4.390706541741167257e+00,4.396433604968578379e+00,1.708859804737076007e-02,8.933843669329522702e-03,1.386380669124435971e-03,4.483332650464251501e-03,7.419325881594013988e-03,4.984885461194979439e-03
2.838564136505244278e+03,5.722846214997675318e+00,8.831820887026701428e+00,1.713674961171110511e-02,4.526875725324184044e-03,1.195379423394932715e-02,6.956313379885002354e-03,1.495902319245141429e-02,7.894345437191713916e-03
3.385068637293378742e+03,1.825040767627988281e+00,4.487847120005649337e+00,1.038242426172908753e-02,1.936758944067603835e-02,1.025957892579615338e-03,1.867820591150736245e-02,1.134699419564462290e-02,9.824307919976002501e-03
